Item_Type,Item_MRP,Outlet_Identifier,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
Health and Hygiene,96.4436,OUT018,Tier 3,Supermarket Type2,2741.7644
Snack Foods,256.6672,OUT018,Tier 3,Supermarket Type2,3068.0064
Breads,93.1436,OUT045,Tier 2,Supermarket Type1,2174.5028
Soft Drinks,174.8738,OUT046,Tier 1,Supermarket Type1,2085.2856
Health and Hygiene,146.7102,OUT049,Tier 1,Supermarket Type1,3791.0652
Fruits and Vegetables,128.0678,OUT027,Tier 3,Supermarket Type3,2797.6916
Soft Drinks,122.5388,OUT018,Tier 3,Supermarket Type2,1609.9044
Snack Foods,36.9874,OUT027,Tier 3,Supermarket Type3,388.1614
Snack Foods,87.6198,OUT027,Tier 3,Supermarket Type3,2180.495
Dairy,230.6352,OUT046,Tier 1,Supermarket Type1,3435.528
Meat,126.002,OUT013,Tier 3,Supermarket Type1,2150.534
Snack Foods,192.9136,OUT049,Tier 1,Supermarket Type1,2527.3768
Canned,259.9278,OUT018,Tier 3,Supermarket Type2,6768.5228
Canned,126.5046,OUT013,Tier 3,Supermarket Type1,373.5138
Dairy,178.1002,OUT010,Tier 3,Grocery Store,358.2004
Health and Hygiene,153.3024,OUT045,Tier 2,Supermarket Type1,2428.8384
Canned,265.2226,OUT045,Tier 2,Supermarket Type1,5815.0972
Baking Goods,60.622,OUT046,Tier 1,Supermarket Type1,2576.646
Dairy,196.8794,OUT019,Tier 1,Grocery Store,780.3176
Health and Hygiene,143.8812,OUT046,Tier 1,Supermarket Type1,3134.5864
Frozen Foods,141.5154,OUT013,Tier 3,Supermarket Type1,850.8924
Canned,117.0492,OUT013,Tier 3,Supermarket Type1,810.9444
Fruits and Vegetables,196.3794,OUT017,Tier 2,Supermarket Type1,3121.2704
Household,151.4708,OUT017,Tier 2,Supermarket Type1,4815.0656
Snack Foods,249.0408,OUT018,Tier 3,Supermarket Type2,6258.52
Household,106.1622,OUT045,Tier 2,Supermarket Type1,2117.244
Hard Drinks,38.0506,OUT049,Tier 1,Supermarket Type1,796.9626
Snack Foods,194.511,OUT046,Tier 1,Supermarket Type1,4910.275
Canned,180.0344,OUT019,Tier 1,Grocery Store,892.172
Fruits and Vegetables,246.9144,OUT018,Tier 3,Supermarket Type2,3185.1872
Meat,87.3514,OUT045,Tier 2,Supermarket Type1,1062.6168
Fruits and Vegetables,38.2848,OUT027,Tier 3,Supermarket Type3,484.7024
Frozen Foods,51.0692,OUT019,Tier 1,Grocery Store,147.8076
Snack Foods,255.8356,OUT027,Tier 3,Supermarket Type3,2543.356
Snack Foods,185.4266,OUT010,Tier 3,Grocery Store,184.4266
Meat,172.5738,OUT035,Tier 2,Supermarket Type1,4865.6664
Dairy,186.024,OUT045,Tier 2,Supermarket Type1,1118.544
Soft Drinks,164.8526,OUT045,Tier 2,Supermarket Type1,2302.3364
Health and Hygiene,95.841,OUT046,Tier 1,Supermarket Type1,2027.361
Snack Foods,170.1764,OUT046,Tier 1,Supermarket Type1,3435.528
Baking Goods,59.222,OUT013,Tier 3,Supermarket Type1,599.22
Starchy Foods,164.7526,OUT045,Tier 2,Supermarket Type1,4604.6728
Canned,189.6188,OUT017,Tier 2,Supermarket Type1,2285.0256
Household,254.3698,OUT049,Tier 1,Supermarket Type1,5580.7356
Frozen Foods,114.0176,OUT046,Tier 1,Supermarket Type1,2290.352
Snack Foods,172.3422,OUT049,Tier 1,Supermarket Type1,1207.0954
Baking Goods,89.9804,OUT019,Tier 1,Grocery Store,643.1628
Frozen Foods,104.9622,OUT017,Tier 2,Supermarket Type1,1587.933
Canned,222.5456,OUT045,Tier 2,Supermarket Type1,5305.0944
Snack Foods,101.87,OUT046,Tier 1,Supermarket Type1,1697.79
Frozen Foods,180.3344,OUT046,Tier 1,Supermarket Type1,1427.4752
Snack Foods,187.9556,OUT018,Tier 3,Supermarket Type2,4693.89
Household,194.6136,OUT019,Tier 1,Grocery Store,583.2408
Baking Goods,171.3764,OUT027,Tier 3,Supermarket Type3,3091.9752
Fruits and Vegetables,177.0028,OUT017,Tier 2,Supermarket Type1,2479.4392
Fruits and Vegetables,160.992,OUT035,Tier 2,Supermarket Type1,2716.464
Breakfast,155.963,OUT027,Tier 3,Supermarket Type3,3285.723
Snack Foods,95.6436,OUT046,Tier 1,Supermarket Type1,661.8052
Meat,117.2808,OUT049,Tier 1,Supermarket Type1,1523.3504
Fruits and Vegetables,122.173,OUT010,Tier 3,Grocery Store,369.519
Dairy,39.9138,OUT049,Tier 1,Supermarket Type1,690.4346
Soft Drinks,55.1614,OUT045,Tier 2,Supermarket Type1,1381.535
Fruits and Vegetables,57.893,OUT035,Tier 2,Supermarket Type1,622.523
Health and Hygiene,114.5492,OUT035,Tier 2,Supermarket Type1,1274.3412
Frozen Foods,120.0414,OUT019,Tier 1,Grocery Store,487.3656
Frozen Foods,246.046,OUT049,Tier 1,Supermarket Type1,1231.73
Fruits and Vegetables,187.4556,OUT035,Tier 2,Supermarket Type1,3755.112
Household,149.9708,OUT027,Tier 3,Supermarket Type3,4363.6532
Fruits and Vegetables,187.8556,OUT046,Tier 1,Supermarket Type1,1314.2892
Frozen Foods,151.0708,OUT045,Tier 2,Supermarket Type1,1805.6496
Snack Foods,178.5344,OUT027,Tier 3,Supermarket Type3,2854.9504
Snack Foods,179.1028,OUT049,Tier 1,Supermarket Type1,3896.2616
Soft Drinks,38.7822,OUT013,Tier 3,Supermarket Type1,667.7974
Snack Foods,212.0902,OUT018,Tier 3,Supermarket Type2,3185.853
Canned,141.1838,OUT013,Tier 3,Supermarket Type1,2247.7408
Baking Goods,163.121,OUT013,Tier 3,Supermarket Type1,1794.331
Baking Goods,121.3098,OUT045,Tier 2,Supermarket Type1,2530.7058
Soft Drinks,225.372,OUT019,Tier 1,Grocery Store,679.116
Soft Drinks,41.4138,OUT013,Tier 3,Supermarket Type1,812.276
Dairy,232.53,OUT046,Tier 1,Supermarket Type1,699.09
Frozen Foods,102.4016,OUT017,Tier 2,Supermarket Type1,2732.4432
Meat,176.937,OUT019,Tier 1,Grocery Store,176.437
Snack Foods,121.7098,OUT027,Tier 3,Supermarket Type3,4097.3332
Breads,173.2054,OUT045,Tier 2,Supermarket Type1,3151.8972
Frozen Foods,239.0906,OUT049,Tier 1,Supermarket Type1,5942.265
Frozen Foods,192.4478,OUT017,Tier 2,Supermarket Type1,4843.695
Snack Foods,109.0228,OUT035,Tier 2,Supermarket Type1,2542.0244
Soft Drinks,140.3154,OUT017,Tier 2,Supermarket Type1,2552.6772
Snack Foods,227.0694,OUT018,Tier 3,Supermarket Type2,1141.847
Household,47.5034,OUT017,Tier 2,Supermarket Type1,680.4476
Soft Drinks,159.0578,OUT045,Tier 2,Supermarket Type1,2085.9514
Canned,92.512,OUT010,Tier 3,Grocery Store,186.424
Canned,190.153,OUT035,Tier 2,Supermarket Type1,3036.048
Breads,62.7194,OUT017,Tier 2,Supermarket Type1,866.8716
Frozen Foods,95.041,OUT035,Tier 2,Supermarket Type1,868.869
Soft Drinks,82.4276,OUT046,Tier 1,Supermarket Type1,1137.1864
Dairy,52.7956,OUT017,Tier 2,Supermarket Type1,928.1252
Hard Drinks,151.7682,OUT013,Tier 3,Supermarket Type1,762.341
Household,40.2822,OUT045,Tier 2,Supermarket Type1,707.0796
Canned,180.5976,OUT027,Tier 3,Supermarket Type3,7968.2944
Household,160.292,OUT046,Tier 1,Supermarket Type1,1438.128
Health and Hygiene,224.4404,OUT027,Tier 3,Supermarket Type3,6976.2524
Frozen Foods,101.7016,OUT010,Tier 3,Grocery Store,101.2016
Canned,188.5188,OUT018,Tier 3,Supermarket Type2,952.094
Household,116.0492,OUT046,Tier 1,Supermarket Type1,1969.4364
Starchy Foods,165.4526,OUT027,Tier 3,Supermarket Type3,5262.4832
Dairy,60.5852,OUT045,Tier 2,Supermarket Type1,1314.2892
Fruits and Vegetables,90.8172,OUT017,Tier 2,Supermarket Type1,535.3032
Others,132.1284,OUT010,Tier 3,Grocery Store,263.6568
Household,154.5972,OUT035,Tier 2,Supermarket Type1,1402.1748
Household,105.1622,OUT017,Tier 2,Supermarket Type1,1693.7952
Others,105.5938,OUT045,Tier 2,Supermarket Type1,2143.876
Household,177.6344,OUT049,Tier 1,Supermarket Type1,2676.516
Frozen Foods,53.064,OUT035,Tier 2,Supermarket Type1,905.488
Frozen Foods,246.3802,OUT049,Tier 1,Supermarket Type1,7370.406
Starchy Foods,226.8404,OUT035,Tier 2,Supermarket Type1,6301.1312
Health and Hygiene,160.692,OUT035,Tier 2,Supermarket Type1,1597.92
Snack Foods,178.237,OUT035,Tier 2,Supermarket Type1,529.311
Household,117.5492,OUT035,Tier 2,Supermarket Type1,1969.4364
Soft Drinks,50.3692,OUT017,Tier 2,Supermarket Type1,1034.6532
Frozen Foods,161.521,OUT018,Tier 3,Supermarket Type2,1794.331
Frozen Foods,197.6426,OUT018,Tier 3,Supermarket Type2,2768.3964
Soft Drinks,31.29,OUT027,Tier 3,Supermarket Type3,898.83
Fruits and Vegetables,226.172,OUT046,Tier 1,Supermarket Type1,3169.208
Household,223.5746,OUT018,Tier 3,Supermarket Type2,3589.9936
Baking Goods,132.5626,OUT018,Tier 3,Supermarket Type2,262.3252
Breakfast,99.8358,OUT017,Tier 2,Supermarket Type1,1910.1802
Soft Drinks,140.9154,OUT017,Tier 2,Supermarket Type1,1701.7848
Frozen Foods,154.5656,OUT013,Tier 3,Supermarket Type1,2471.4496
Snack Foods,54.764,OUT013,Tier 3,Supermarket Type1,1331.6
Fruits and Vegetables,97.0094,OUT027,Tier 3,Supermarket Type3,1808.9786
Canned,222.5456,OUT018,Tier 3,Supermarket Type2,3315.684
Soft Drinks,114.2518,OUT046,Tier 1,Supermarket Type1,2618.5914
Meat,214.556,OUT046,Tier 1,Supermarket Type1,2769.728
Soft Drinks,233.4958,OUT017,Tier 2,Supermarket Type1,5375.0034
Canned,216.8824,OUT017,Tier 2,Supermarket Type1,2838.9712
Canned,125.0046,OUT018,Tier 3,Supermarket Type2,1743.0644
Household,198.8084,OUT027,Tier 3,Supermarket Type3,5555.4352
Breads,61.9194,OUT018,Tier 3,Supermarket Type2,619.194
Others,164.821,OUT035,Tier 2,Supermarket Type1,2120.573
Fruits and Vegetables,173.0738,OUT017,Tier 2,Supermarket Type1,3823.0236
Meat,151.4366,OUT013,Tier 3,Supermarket Type1,1360.2294
Fruits and Vegetables,178.8318,OUT013,Tier 3,Supermarket Type1,3969.4996
Fruits and Vegetables,115.1834,OUT010,Tier 3,Grocery Store,345.5502
Breads,196.5794,OUT010,Tier 3,Grocery Store,585.2382
Starchy Foods,92.6804,OUT045,Tier 2,Supermarket Type1,1010.6844
Health and Hygiene,81.4618,OUT010,Tier 3,Grocery Store,161.1236
Soft Drinks,42.1112,OUT019,Tier 1,Grocery Store,42.6112
Baking Goods,157.4604,OUT045,Tier 2,Supermarket Type1,3010.7476
Frozen Foods,153.0656,OUT027,Tier 3,Supermarket Type3,6024.1584
Meat,198.1426,OUT045,Tier 2,Supermarket Type1,988.713
Health and Hygiene,117.944,OUT019,Tier 1,Grocery Store,239.688
Dairy,112.8176,OUT013,Tier 3,Supermarket Type1,1374.2112
Baking Goods,226.8062,OUT027,Tier 3,Supermarket Type3,4739.8302
Snack Foods,100.0016,OUT018,Tier 3,Supermarket Type2,1012.016
Fruits and Vegetables,165.7526,OUT019,Tier 1,Grocery Store,657.8104
Health and Hygiene,130.431,OUT049,Tier 1,Supermarket Type1,778.986
Frozen Foods,179.766,OUT045,Tier 2,Supermarket Type1,2336.958
Household,85.0882,OUT049,Tier 1,Supermarket Type1,2233.0932
Meat,103.9648,OUT049,Tier 1,Supermarket Type1,1661.8368
Snack Foods,264.7568,OUT049,Tier 1,Supermarket Type1,4745.8224
Fruits and Vegetables,164.1526,OUT045,Tier 2,Supermarket Type1,3124.5994
Fruits and Vegetables,50.1324,OUT018,Tier 3,Supermarket Type2,467.3916
Household,182.5976,OUT027,Tier 3,Supermarket Type3,5070.7328
Fruits and Vegetables,37.6164,OUT046,Tier 1,Supermarket Type1,540.6296
Frozen Foods,48.0718,OUT046,Tier 1,Supermarket Type1,992.7078
Others,238.8538,OUT049,Tier 1,Supermarket Type1,6008.845
Dairy,62.9194,OUT027,Tier 3,Supermarket Type3,2105.2596
Canned,232.63,OUT027,Tier 3,Supermarket Type3,5359.69
Health and Hygiene,104.628,OUT045,Tier 2,Supermarket Type1,745.696
Baking Goods,161.8868,OUT035,Tier 2,Supermarket Type1,3275.736
Snack Foods,140.2154,OUT045,Tier 2,Supermarket Type1,1701.7848
Baking Goods,177.937,OUT027,Tier 3,Supermarket Type3,6704.606
Meat,242.7512,OUT046,Tier 1,Supermarket Type1,4119.9704
Baking Goods,81.5934,OUT010,Tier 3,Grocery Store,327.5736
Frozen Foods,45.7402,OUT049,Tier 1,Supermarket Type1,780.9834
Soft Drinks,189.3846,OUT045,Tier 2,Supermarket Type1,3630.6074
Snack Foods,107.3622,OUT019,Tier 1,Grocery Store,317.5866
Frozen Foods,39.7164,OUT010,Tier 3,Grocery Store,231.6984
Soft Drinks,32.99,OUT035,Tier 2,Supermarket Type1,133.16
Dairy,245.1802,OUT035,Tier 2,Supermarket Type1,5650.6446
Snack Foods,263.7568,OUT017,Tier 2,Supermarket Type1,2636.568
Household,96.0726,OUT045,Tier 2,Supermarket Type1,1272.3438
Household,161.5552,OUT010,Tier 3,Grocery Store,324.9104
Snack Foods,130.0626,OUT010,Tier 3,Grocery Store,131.1626
Fruits and Vegetables,131.2968,OUT010,Tier 3,Grocery Store,260.9936
Frozen Foods,260.0936,OUT010,Tier 3,Grocery Store,260.9936
Meat,160.6578,OUT013,Tier 3,Supermarket Type1,3690.5294
Meat,40.2822,OUT035,Tier 2,Supermarket Type1,1139.1838
Baking Goods,52.9298,OUT049,Tier 1,Supermarket Type1,1995.4026
Baking Goods,88.3514,OUT017,Tier 2,Supermarket Type1,1416.8224
Frozen Foods,37.2506,OUT046,Tier 1,Supermarket Type1,265.6542
Canned,121.7072,OUT017,Tier 2,Supermarket Type1,3552.7088
Soft Drinks,161.5578,OUT013,Tier 3,Supermarket Type1,2406.867
Others,211.956,OUT019,Tier 1,Grocery Store,213.056
Fruits and Vegetables,124.173,OUT013,Tier 3,Supermarket Type1,2956.152
Dairy,152.134,OUT019,Tier 1,Grocery Store,153.134
Canned,79.7644,OUT035,Tier 2,Supermarket Type1,1649.8524
Canned,181.9292,OUT027,Tier 3,Supermarket Type3,3101.2964
Household,165.6526,OUT027,Tier 3,Supermarket Type3,4769.1254
Seafood,170.4764,OUT027,Tier 3,Supermarket Type3,3435.528
Fruits and Vegetables,86.4198,OUT045,Tier 2,Supermarket Type1,1133.8574
Canned,152.334,OUT035,Tier 2,Supermarket Type1,2603.278
Household,45.406,OUT046,Tier 1,Supermarket Type1,605.878
Hard Drinks,192.8846,OUT027,Tier 3,Supermarket Type3,2293.0152
Snack Foods,118.7782,OUT019,Tier 1,Grocery Store,119.1782
Starchy Foods,92.9804,OUT013,Tier 3,Supermarket Type1,1929.4884
Snack Foods,109.8912,OUT027,Tier 3,Supermarket Type3,2074.6328
Health and Hygiene,79.9618,OUT027,Tier 3,Supermarket Type3,241.6854
Household,251.3724,OUT045,Tier 2,Supermarket Type1,6795.1548
Household,42.7112,OUT017,Tier 2,Supermarket Type1,639.168
Health and Hygiene,192.1846,OUT035,Tier 2,Supermarket Type1,3248.4382
Fruits and Vegetables,227.6062,OUT017,Tier 2,Supermarket Type1,7222.5984
Dairy,229.0668,OUT035,Tier 2,Supermarket Type1,3225.1352
Snack Foods,249.0408,OUT035,Tier 2,Supermarket Type1,3755.112
Canned,179.3976,OUT013,Tier 3,Supermarket Type1,3440.8544
Fruits and Vegetables,163.4552,OUT035,Tier 2,Supermarket Type1,974.7312
Meat,75.367,OUT049,Tier 1,Supermarket Type1,535.969
Frozen Foods,262.491,OUT017,Tier 2,Supermarket Type1,5259.82
Dairy,152.034,OUT019,Tier 1,Grocery Store,306.268
Fruits and Vegetables,112.3886,OUT018,Tier 3,Supermarket Type2,1779.0176
Fruits and Vegetables,61.451,OUT049,Tier 1,Supermarket Type1,759.012
Snack Foods,125.9704,OUT013,Tier 3,Supermarket Type1,1877.556
Fruits and Vegetables,171.8764,OUT045,Tier 2,Supermarket Type1,3779.0808
Frozen Foods,41.5796,OUT019,Tier 1,Grocery Store,41.2796
Canned,51.1324,OUT017,Tier 2,Supermarket Type1,259.662
Health and Hygiene,96.341,OUT013,Tier 3,Supermarket Type1,193.082
Meat,110.9202,OUT045,Tier 2,Supermarket Type1,1687.803
Baking Goods,127.5362,OUT017,Tier 2,Supermarket Type1,4655.9394
Meat,225.9404,OUT013,Tier 3,Supermarket Type1,4950.8888
Soft Drinks,95.4436,OUT035,Tier 2,Supermarket Type1,1418.154
Frozen Foods,246.4144,OUT017,Tier 2,Supermarket Type1,1225.072
Dairy,231.03,OUT045,Tier 2,Supermarket Type1,5359.69
Breakfast,176.237,OUT045,Tier 2,Supermarket Type1,1764.37
Household,195.211,OUT013,Tier 3,Supermarket Type1,2553.343
Frozen Foods,43.3454,OUT013,Tier 3,Supermarket Type1,1006.6896
Baking Goods,85.225,OUT013,Tier 3,Supermarket Type1,1081.925
Starchy Foods,36.7164,OUT017,Tier 2,Supermarket Type1,308.9312
Frozen Foods,178.666,OUT013,Tier 3,Supermarket Type1,2516.724
Frozen Foods,128.831,OUT046,Tier 1,Supermarket Type1,1428.141
Dairy,260.1594,OUT013,Tier 3,Supermarket Type1,2093.2752
Fruits and Vegetables,85.6908,OUT013,Tier 3,Supermarket Type1,1929.4884
Dairy,264.0884,OUT035,Tier 2,Supermarket Type1,5829.7448
Snack Foods,91.4488,OUT046,Tier 1,Supermarket Type1,2082.6224
Meat,173.1738,OUT027,Tier 3,Supermarket Type3,7298.4996
Fruits and Vegetables,256.4988,OUT013,Tier 3,Supermarket Type1,7452.9652
Meat,110.5202,OUT017,Tier 2,Supermarket Type1,450.0808
Snack Foods,250.4408,OUT010,Tier 3,Grocery Store,500.6816
Snack Foods,126.202,OUT027,Tier 3,Supermarket Type3,3668.558
Fruits and Vegetables,103.1964,OUT018,Tier 3,Supermarket Type2,736.3748
Household,253.0698,OUT035,Tier 2,Supermarket Type1,6088.0752
Household,101.0016,OUT027,Tier 3,Supermarket Type3,2125.2336
Soft Drinks,153.0024,OUT017,Tier 2,Supermarket Type1,2277.036
Fruits and Vegetables,190.3846,OUT019,Tier 1,Grocery Store,573.2538
Meat,151.1366,OUT035,Tier 2,Supermarket Type1,2267.049
Fruits and Vegetables,147.3734,OUT010,Tier 3,Grocery Store,296.9468
Household,46.306,OUT018,Tier 3,Supermarket Type2,559.272
Fruits and Vegetables,222.1772,OUT035,Tier 2,Supermarket Type1,5559.43
Household,95.5094,OUT049,Tier 1,Supermarket Type1,1237.7222
Soft Drinks,113.5518,OUT045,Tier 2,Supermarket Type1,569.259
Breakfast,174.0712,OUT027,Tier 3,Supermarket Type3,3866.9664
Fruits and Vegetables,198.4768,OUT045,Tier 2,Supermarket Type1,1379.5376
Dairy,142.7128,OUT018,Tier 3,Supermarket Type2,1869.5664
Baking Goods,196.211,OUT027,Tier 3,Supermarket Type3,5499.508
Baking Goods,94.3462,OUT049,Tier 1,Supermarket Type1,925.462
Baking Goods,47.9034,OUT035,Tier 2,Supermarket Type1,583.2408
Others,141.4154,OUT046,Tier 1,Supermarket Type1,1418.154
Fruits and Vegetables,80.2644,OUT017,Tier 2,Supermarket Type1,942.7728
Baking Goods,99.3384,OUT046,Tier 1,Supermarket Type1,2364.9216
Canned,87.9856,OUT027,Tier 3,Supermarket Type3,3251.7672
Fruits and Vegetables,125.2678,OUT019,Tier 1,Grocery Store,254.3356
Household,167.0474,OUT035,Tier 2,Supermarket Type1,5895.659
Breads,93.7436,OUT018,Tier 3,Supermarket Type2,1134.5232
Soft Drinks,224.972,OUT045,Tier 2,Supermarket Type1,7696.648
Hard Drinks,250.5382,OUT017,Tier 2,Supermarket Type1,2775.7202
Fruits and Vegetables,241.2854,OUT045,Tier 2,Supermarket Type1,5317.0788
Frozen Foods,98.0068,OUT018,Tier 3,Supermarket Type2,874.8612
Baking Goods,92.6436,OUT046,Tier 1,Supermarket Type1,1039.9796
Fruits and Vegetables,235.0958,OUT035,Tier 2,Supermarket Type1,3038.0454
Dairy,193.6162,OUT035,Tier 2,Supermarket Type1,3848.324
Canned,59.1904,OUT046,Tier 1,Supermarket Type1,527.3136
Snack Foods,89.1514,OUT046,Tier 1,Supermarket Type1,2390.8878
Canned,60.222,OUT027,Tier 3,Supermarket Type3,1677.816
Frozen Foods,112.7176,OUT013,Tier 3,Supermarket Type1,801.6232
Snack Foods,115.5834,OUT045,Tier 2,Supermarket Type1,1267.0174
Snack Foods,148.0076,OUT045,Tier 2,Supermarket Type1,886.8456
Fruits and Vegetables,228.272,OUT010,Tier 3,Grocery Store,452.744
Frozen Foods,147.5392,OUT045,Tier 2,Supermarket Type1,3877.6192
Fruits and Vegetables,146.6418,OUT027,Tier 3,Supermarket Type3,4414.254
Hard Drinks,122.4388,OUT027,Tier 3,Supermarket Type3,5448.9072
Baking Goods,223.9404,OUT049,Tier 1,Supermarket Type1,4950.8888
Soft Drinks,62.6168,OUT017,Tier 2,Supermarket Type1,958.752
Dairy,149.9708,OUT017,Tier 2,Supermarket Type1,1956.1204
Fruits and Vegetables,103.2306,OUT049,Tier 1,Supermarket Type1,2404.2038
Others,194.3478,OUT010,Tier 3,Grocery Store,387.4956
Meat,165.0842,OUT013,Tier 3,Supermarket Type1,994.7052
Breads,101.299,OUT045,Tier 2,Supermarket Type1,1754.383
Health and Hygiene,129.9994,OUT027,Tier 3,Supermarket Type3,3340.9844
Breads,216.7166,OUT045,Tier 2,Supermarket Type1,3918.8988
Dairy,76.367,OUT013,Tier 3,Supermarket Type1,306.268
Baking Goods,158.4604,OUT027,Tier 3,Supermarket Type3,4278.4308
Fruits and Vegetables,260.6278,OUT045,Tier 2,Supermarket Type1,4425.5726
Snack Foods,230.9984,OUT027,Tier 3,Supermarket Type3,9267.936
Frozen Foods,76.867,OUT019,Tier 1,Grocery Store,229.701
Breakfast,129.3994,OUT027,Tier 3,Supermarket Type3,2055.9904
Others,101.3016,OUT046,Tier 1,Supermarket Type1,3339.6528
Fruits and Vegetables,221.7456,OUT045,Tier 2,Supermarket Type1,6410.3224
Frozen Foods,122.9046,OUT017,Tier 2,Supermarket Type1,1992.0736
Breakfast,104.4332,OUT017,Tier 2,Supermarket Type1,2870.9296
Canned,164.5184,OUT027,Tier 3,Supermarket Type3,2807.0128
Baking Goods,88.183,OUT013,Tier 3,Supermarket Type1,539.298
Household,174.3054,OUT013,Tier 3,Supermarket Type1,4377.635
Household,180.9976,OUT045,Tier 2,Supermarket Type1,2716.464
Snack Foods,190.9504,OUT019,Tier 1,Grocery Store,383.5008
Soft Drinks,59.5904,OUT049,Tier 1,Supermarket Type1,703.0848
Meat,66.3826,OUT049,Tier 1,Supermarket Type1,1937.478
Household,182.2608,OUT049,Tier 1,Supermarket Type1,3307.6944
Household,197.611,OUT049,Tier 1,Supermarket Type1,3142.576
Canned,181.2292,OUT018,Tier 3,Supermarket Type2,2554.0088
Breads,104.0648,OUT018,Tier 3,Supermarket Type2,1869.5664
Breads,260.4594,OUT045,Tier 2,Supermarket Type1,5494.8474
Meat,233.1616,OUT013,Tier 3,Supermarket Type1,6093.4016
Soft Drinks,174.0422,OUT046,Tier 1,Supermarket Type1,2586.633
Snack Foods,55.2956,OUT049,Tier 1,Supermarket Type1,1255.6988
Canned,141.7496,OUT046,Tier 1,Supermarket Type1,4093.3384
Dairy,142.2128,OUT046,Tier 1,Supermarket Type1,3163.8816
Meat,166.0816,OUT027,Tier 3,Supermarket Type3,5033.448
Frozen Foods,79.9276,OUT046,Tier 1,Supermarket Type1,1137.1864
Fruits and Vegetables,98.77,OUT027,Tier 3,Supermarket Type3,2696.49
Hard Drinks,178.566,OUT018,Tier 3,Supermarket Type2,898.83
Health and Hygiene,118.244,OUT046,Tier 1,Supermarket Type1,2756.412
Baking Goods,81.896,OUT045,Tier 2,Supermarket Type1,878.856
Snack Foods,58.222,OUT049,Tier 1,Supermarket Type1,659.142
Dairy,182.6292,OUT019,Tier 1,Grocery Store,182.4292
Fruits and Vegetables,211.4902,OUT013,Tier 3,Supermarket Type1,3610.6334
Fruits and Vegetables,256.4646,OUT035,Tier 2,Supermarket Type1,5153.292
Meat,108.7596,OUT017,Tier 2,Supermarket Type1,2588.6304
Dairy,212.5876,OUT018,Tier 3,Supermarket Type2,1286.3256
Fruits and Vegetables,110.1544,OUT017,Tier 2,Supermarket Type1,1230.3984
Fruits and Vegetables,60.2194,OUT027,Tier 3,Supermarket Type3,1733.7432
Health and Hygiene,193.8162,OUT019,Tier 1,Grocery Store,384.8324
Household,180.0318,OUT045,Tier 2,Supermarket Type1,3969.4996
Snack Foods,176.437,OUT035,Tier 2,Supermarket Type1,7763.228
Meat,41.2112,OUT013,Tier 3,Supermarket Type1,809.6128
Canned,178.6002,OUT018,Tier 3,Supermarket Type2,1253.7014
Dairy,195.2768,OUT046,Tier 1,Supermarket Type1,5715.2272
Fruits and Vegetables,57.7904,OUT013,Tier 3,Supermarket Type1,1464.76
Dairy,169.8106,OUT013,Tier 3,Supermarket Type1,3251.1014
